date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:10:19	484/484	---MCZ	200	added ('OK')	text/plain	etag:cacheable:7fe4f040ec971623899ad6def9789404	https://pantalonbrand.com/robots.txt		(from )
18:10:20	276797/276797	---MCZ	200	added ('OK')	text/html	etag:cacheable:ae46bf56ecf827b3bce0dbd6adae0f8a	https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/indexe535.html	(from )
18:10:20	492/492	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Jul%202021%2015:13:30%20GMT	http://cdn.shopify.com/s/files/1/0275/8780/5236/files/favicon_32x32.png?v=1626880289	C:/Mie%20pagine%20Web/pantalon/cdn.shopify.com/s/files/1/0275/8780/5236/files/favicon_32x3235cc.png	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:20	276797/276797	---MCZ	200	added ('OK')	text/html	etag:cacheable:ae46bf56ecf827b3bce0dbd6adae0f8a	https://pantalonbrand.com/	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/index.html	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:22	276913/276913	---MCZ	200	added ('OK')	text/html	etag:cacheable:0a538371bcf6ba3b67c2f807e07d684d	https://pantalonbrand.com/en	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/en.html	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:22	84325/84325	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:748dfbe0487b42e691daed5df62f22db	https://pantalonbrand.com/POST	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/POST	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:23	77581/77581	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2011%20Aug%202021%2019:01:25%20GMT	https://cdn.shopify.com/s/trekkie.storefront.575f6ecb9af47cd9964f6bd1e8d698bcaf3541e9.min.js	C:/Mie%20pagine%20Web/pantalon/cdn.shopify.com/s/trekkie.storefront.575f6ecb9af47cd9964f6bd1e8d698bcaf3541e9.min.js	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:23	59064/59064	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2019%20Jul%202021%2019:41:29%20GMT	https://cdn.shopify.com/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	C:/Mie%20pagine%20Web/pantalon/cdn.shopify.com/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:24	8039/8039	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2015%20Jun%202021%2003:37:30%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-eb19870e6f215e4e4acd8067d24ecfcbfee2d96d96aa8607e8fd45edf40eacc6.js	C:/Mie%20pagine%20Web/pantalon/cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-eb19870e6f215e4e4acd8067d24ecfcbfee2d96d96aa8607e8fd45edf40eacc6.js	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:24	9660/9660	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2018%20May%202021%2019:26:10%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-a55261a7a987674749989983b5889eadaac6795d8d48548fb61470a96edb9524.js	C:/Mie%20pagine%20Web/pantalon/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-a55261a7a987674749989983b5889eadaac6795d8d48548fb61470a96edb9524.js	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
